FOOD ITEM,MEASURING UNIT,CAL,FAT (g),CARBS (g),PROTEIN (g),SCROLL DOWN TO ADD FOODS
ALMONDS,OUNCES,170,15,6,6,
APPLE,SERVING,95,0.4,30.8,0.6,
APPLE JUICE,CUP,114,0,28,0,
BAKED POTATO,OUNCE,26,0,6,1,
BANANA,100 grams,89,0,23,1,
BLACK BEANS,CUP,227,1,41,15,
BLACKBERRIES,CUP,62,0.7,13.8,2,
BROWN RICE,CUP,218,1.6,45.8,4.5,
CASHEWS,OUNCE,155,12,9,5,
COCONUT OIL,TABLESPOON,120,13.5,0,0,
CORN,OUNCES,102,1,21,3,
FAT FREE COTTAGE CHEESE,OUNCE,20,0,1,3,
EGG WHITES,3 tbs (46 grams),25,0,0,5,
Omega 3 Egg Whole,SERVING,70,4.5,0,6,
ENGLISH MUFFIN,SERVING,140,0,27,5,
FAT FREE MILK,CUP,80,0,13,8,
GRAPE,CUP,62,0,16,1,
GRILLED CHICKEN,OUNCE,50,1,0,7.5,
HAM,OUNCE,30,1,0,5,
HOME FRIES,CUP,268.34,14.05,33.72,3.21,
HONEY,TABLESPOON,60,0,17,0,
IRISH OATMEAL,CUP,300,5,54,8,
JACK LINK'S PEPPERED BEEF JERKY,PACK,280,3.5,14,52.5,
KEYFOODS QUICKOATS,CUP,300,5,54,10,
LEMONADE,CUP,54,1,16,1,
LOWFAT TURKEY SAUSAGE,PER,70,2.5,0,12,
MASHED POTATOES,CUP,66,1,12.9,1.8,
MAYONNAISE LIGHT,TABLESPOON,5,1,1,0,
MILK 2%,CUP,100,2.5,12,8,
MILK WHOLE,CUP,150,8,12,8,
NITREAN CHOCOLATE,SCOOP,109,1,3,22,
NUTRIGRAIN HONEY GRANOLA BAR,SERVING,190,6,29,4,
ON CASEIN,SCOOP,120,1,3,24,
ON FISH OIL,CAPSULE,10,1,0,0,
ON WHEY,SCOOP,120,1,3,24,
ORANGE JUICE,CUP,122,0.3,30.3,0.1,
PEACH MEDIUM,PER,59,0,15,1,
PEANUT BUTTER,TABLESPOON,94,8,3,4,
PEANUTS,OUNCE,170,12,8,7,
PINEAPPLE,CUP,88,0,22,1,
PINK GRAPEFRUIT,SERVING,82,0.3,20.7,1.6,
PIZZA MEDIUM SLICE,SLICE,290,11,32,15,
ROAST BEEF,OUNCE,46,1,0,7.5,
SALMON,3 OUNCE,177,11,0,17,
SHRIMP,OUNCES,28,0,0,6,
SPINACH,CUP,10,0,2.6,0.6,
STRAWBERRIES,CUP,49,0,12,1,
SUSHI CALIFORNIA,SERVING,35,1,5,1,
SUSHI EEL,SERVING,63,2.1,8.2,3.9,
SUSHI MACKERAL,SERVING,58,3.9,0,5.3,
SUSHI SALMON,SERVING,56,1.6,8.2,3.3,
SUSHI SALMON ROE,SERVING,39,0.5,8.3,2.1,
SUSHI SHRIMP,SERVING,60,0.5,8.4,0,
SUSHI TUNA,SERVING,44,0.7,8.2,3.8,
SUSHI WHITEFISH,SERVING,41,0.9,8.2,3.2,
SUSHI YELLOW TAIL,SERVING,60,8,8.2,3.8,
TOMATO,CUP,25,0,5,2,
TUNA SALAD,CUP,383,19,19.3,32.9,
TURKEY BREAST 99% fat free (ground),OUNCE,29,0,0,5,
